adjective,infinitif_fr,pronunciation,japanese,masc_sg,fem_sg,common_sg,masc_pl,fem_pl,common_pl,x1_preposition,x1_role,x2_preposition,x2_role
grand,grand,ɡʁɑ̃,大きい,grand,grande,,grands,grandes,,,被修飾語,que,比較対象
étóné,étonné,etone,驚いた,étoné,étoné,,étoné,étoné,,,被修飾語,par,原因
rujë,rouge,ʁuʒ,赤い,rúʒ,rúʒë,,,rúʒs,rúʒës,,,,
blö,bleu,blø,青い,blö,blöë,,,blös,blöës,,,,
nwar,noir,nwaʁ,黒い,nwar,nwarë,,,nwars,nwarës,,,,
blã,blanc,blɑ̃,白い,blã,blãë,,,blãs,blãës,,,,
vèr,vert,vɛʁ,緑,vèr,vèrë,,,,,,,,
jón,jaune,ʒon,黄,jón,jónë,,,,,,,,
vyòlè,violet,vjɔlɛ,紫,vyòlè,vyòlèë,,,,,,,,
òranjë,orange,ɔʁɑ̃ʒ,オレンジ,òranjë,òranjëë,,,,,,,,
